Particle,vx,vy,vz
1,131.236,77.2726,-63.5608
0,-54.6454,117.322,582.385
1,133.193,74.1774,-64.0526
0,-51.8696,118.871,586.349
1,135.072,71.0334,-64.5476
0,-49.0554,120.35,590.342
1,136.873,67.8424,-65.0457
0,-46.2044,121.758,594.363
1,138.594,64.6066,-65.5469
0,-43.3184,123.095,598.413
1,140.233,61.3278,-66.0512
0,-40.3992,124.36,602.492
1,141.791,58.0081,-66.5588
0,-37.4487,125.551,606.599
1,143.265,54.6495,-67.0695
0,-34.4686,126.669,610.736
1,144.655,51.2542,-67.5835
0,-31.4608,127.711,614.902
1,145.959,47.8243,-68.1007
0,-28.4272,128.679,619.098
1,147.178,44.3618,-68.6212
0,-25.3696,129.57,623.323
1,148.31,40.8689,-69.145
0,-22.29,130.385,627.579
1,149.355,37.3479,-69.6721
0,-19.1903,131.122,631.864
1,150.311,33.8008,-70.2025
0,-16.0723,131.782,636.18
1,151.178,30.2299,-70.7364
0,-12.9381,132.364,640.527
1,151.956,26.6374,-71.2736
0,-9.78966,132.867,644.904
1,152.643,23.0256,-71.8143
0,-6.62884,133.291,649.313
1,153.241,19.3967,-72.3584
0,-3.45767,133.636,653.752
1,153.747,15.753,-72.906
0,-0.278112,133.901,658.224
1,154.162,12.0968,-73.4571
0,2.90783,134.087,662.726
1,154.485,8.43021,-74.0118
0,6.09818,134.193,667.261
1,154.716,4.7557,-74.57
0,9.29092,134.219,671.828
1,154.856,1.0755,-75.1317
0,12.4841,134.165,676.427
1,154.903,-2.60807,-75.6971
0,15.6756,134.031,681.058
1,154.857,-6.29271,-76.2662
0,18.8636,133.817,685.723
1,154.72,-9.97611,-76.8389
0,22.0459,133.523,690.42
1,154.49,-13.656,-77.4153
0,25.2207,133.15,695.15
1,154.168,-17.33,-77.9954
0,28.3858,132.696,699.914
1,153.754,-20.9958,-78.5793
0,31.5394,132.164,704.712
1,153.248,-24.6512,-79.167
0,34.6794,131.553,709.543
1,152.65,-28.2938,-79.7584
0,37.8039,130.862,714.409
1,151.961,-31.9213,-80.3537
0,40.9109,130.094,719.309
1,151.182,-35.5316,-80.9529
0,43.9984,129.248,724.244
1,150.311,-39.1222,-81.556
0,47.0645,128.324,729.213
1,149.351,-42.691,-82.1629
0,50.1073,127.324,734.217
1,148.302,-46.2356,-82.7739
0,53.1248,126.247,739.257
1,147.163,-49.7539,-83.3888
0,56.1151,125.095,744.333
1,145.937,-53.2436,-84.0077
0,59.0764,123.868,749.444
1,144.623,-56.7026,-84.6307
0,62.0068,122.566,754.591
1,143.223,-60.1286,-85.2577
0,64.9043,121.191,759.774
1,141.736,-63.5194,-85.8889
0,67.7673,119.744,764.994
1,140.165,-66.873,-86.5241
0,70.5938,118.225,770.251
1,138.509,-70.1872,-87.1635
0,73.382,116.635,775.545
1,136.771,-73.4599,-87.8072
0,76.1303,114.975,780.876
1,134.951,-76.6891,-88.455
0,78.8369,113.247,786.245
1,133.049,-79.8726,-89.1071
0,81.4999,111.45,791.651
1,131.068,-83.0084,-89.7635
0,84.1179,109.587,797.096
1,129.009,-86.0947,-90.4242
0,86.689,107.658,802.579
1,126.872,-89.1293,-91.0892
0,89.2116,105.665,808.101
1,124.659,-92.1104,-91.7587
0,91.6841,103.609,813.661
1,122.371,-95.0361,-92.4325
0,94.105,101.491,819.26
1,120.01,-97.9045,-93.1108
0,96.4727,99.3117,824.899
1,117.578,-100.714,-93.7936
0,98.7857,97.0734,830.578
1,115.074,-103.462,-94.4809
0,101.042,94.7772,836.297
1,112.502,-106.148,-95.1727
0,103.242,92.4244,842.055
1,109.863,-108.769,-95.8691
0,105.382,90.0165,847.855
1,107.158,-111.324,-96.5701
0,107.461,87.555,853.695
1,104.389,-113.812,-97.2757
0,109.479,85.0413,859.576
1,101.558,-116.23,-97.9861
0,111.434,82.4771,865.498
1,98.6659,-118.577,-98.7011
0,113.324,79.864,871.462
1,95.7151,-120.852,-99.4209
0,115.149,77.2034,877.468
1,92.7074,-123.053,-100.145
0,116.907,74.4971,883.516
1,89.6445,-125.178,-100.875
0,118.598,71.7467,889.607
1,86.5283,-127.228,-101.609
0,120.219,68.9539,895.741
1,83.3608,-129.199,-102.348
0,121.77,66.1206,901.917
1,80.1439,-131.09,-103.092
0,123.25,63.2483,908.137
1,76.8795,-132.902,-103.841
0,124.658,60.3389,914.401
1,73.5697,-134.631,-104.595
0,125.993,57.3942,920.708
1,70.2166,-136.278,-105.354
0,127.255,54.416,927.06
1,66.8222,-137.841,-106.118
0,128.441,51.4061,933.456
1,63.3886,-139.318,-106.888
0,129.552,48.3665,939.898
1,59.918,-140.71,-107.662
0,130.587,45.299,946.384
1,56.4124,-142.016,-108.442
0,131.545,42.2055,952.916
1,52.8741,-143.233,-109.226
0,132.426,39.088,959.494
1,49.3053,-144.362,-110.016
0,133.228,35.9484,966.118
1,45.7081,-145.401,-110.812
0,133.952,32.7886,972.789
1,42.0848,-146.351,-111.612
0,134.596,29.6106,979.506
1,38.4377,-147.21,-112.418
0,135.161,26.4164,986.27
1,34.769,-147.978,-113.23
0,135.646,23.208,993.082
1,31.081,-148.653,-114.046
0,136.05,19.9874,999.942
1,27.376,-149.237,-114.869
0,136.373,16.7566,1006.85
1,23.6563,-149.728,-115.697
0,136.616,13.5176,1013.81
1,19.9242,-150.126,-116.53
0,136.777,10.2724,1020.81
1,16.1821,-150.431,-117.369
0,136.858,7.02312,1027.86
1,12.4322,-150.641,-118.214
0,136.856,3.77173,1034.97
1,8.67702,-150.759,-119.064
