Particle,vx,vy,vz
1,756.019,1172.65,-8.31148e+31
0,-987.011,706.741,7.11857e+32
1,778.637,1156.45,-8.35429e+31
0,-971.937,725.496,7.15523e+32
1,800.807,1139.75,-8.39731e+31
0,-956.454,743.838,7.19206e+32
1,822.515,1122.56,-8.44054e+31
0,-940.573,761.76,7.22908e+32
1,843.753,1104.9,-8.48397e+31
0,-924.304,779.252,7.26627e+32
1,864.511,1086.77,-8.52762e+31
0,-907.66,796.307,7.30363e+32
1,884.778,1068.2,-8.57148e+31
0,-890.651,812.917,7.34118e+32
1,904.544,1049.19,-8.61554e+31
0,-873.29,829.074,7.37891e+32
1,923.802,1029.76,-8.65982e+31
0,-855.588,844.772,7.41683e+32
1,942.541,1009.92,-8.70432e+31
0,-837.557,860.002,7.45492e+32
1,960.755,989.681,-8.74902e+31
0,-819.209,874.759,7.4932e+32
