Particle,x,y,z
1,19.8353,-177.035,-1229.8
0,162.138,-598.06,10116.8
1,35.1004,-179.865,-1237.78
0,165.918,-584.974,10188.2
1,50.2965,-183.057,-1245.81
0,170.009,-571.965,10260.2
1,65.4147,-186.61,-1253.91
0,174.409,-559.04,10332.6
1,80.4458,-190.522,-1262.06
0,179.115,-546.208,10405.5
1,95.381,-194.791,-1270.28
0,184.126,-533.475,10478.9
1,110.211,-199.415,-1278.56
0,189.439,-520.851,10552.9
1,124.927,-204.39,-1286.9
0,195.05,-508.341,10627.3
1,139.521,-209.714,-1295.3
0,200.958,-495.954,10702.2
1,153.983,-215.385,-1303.76
0,207.158,-483.698,10777.7
1,168.306,-221.398,-1312.29
0,213.649,-471.579,10853.7
1,182.479,-227.749,-1320.87
0,220.426,-459.604,10930.2
1,196.496,-234.437,-1329.53
0,227.485,-447.782,11007.2
1,210.347,-241.456,-1338.24
0,234.823,-436.118,11084.8
1,224.024,-248.802,-1347.02
0,242.436,-424.621,11162.8
1,237.519,-256.47,-1355.87
0,250.32,-413.296,11241.5
1,250.824,-264.458,-1364.78
0,258.47,-402.151,11320.6
1,263.931,-272.759,-1373.76
0,266.882,-391.192,11400.3
1,276.832,-281.368,-1382.8
0,275.55,-380.426,11480.6
1,289.519,-290.281,-1391.91
0,284.472,-369.86,11561.4
1,301.985,-299.492,-1401.08
0,293.64,-359.499,11642.8
1,314.222,-308.996,-1410.33
0,303.051,-349.35,11724.7
1,326.223,-318.786,-1419.64
0,312.698,-339.419,11807.2
1,337.981,-328.857,-1429.02
0,322.576,-329.711,11890.2
1,349.488,-339.204,-1438.47
0,332.681,-320.234,11973.9
1,360.738,-349.818,-1447.98
0,343.005,-310.991,12058.1
1,371.725,-360.695,-1457.57
0,353.543,-301.989,12142.9
1,382.44,-371.828,-1467.23
0,364.289,-293.234,12228.2
1,392.879,-383.209,-1476.95
0,375.237,-284.73,12314.2
1,403.035,-394.832,-1486.75
0,386.38,-276.482,12400.7
1,412.902,-406.69,-1496.62
0,397.713,-268.496,12487.9
1,422.473,-418.775,-1506.56
0,409.228,-260.775,12575.6
1,431.744,-431.08,-1516.58
0,420.919,-253.326,12664
1,440.708,-443.598,-1526.67
0,432.778,-246.151,12753
1,449.361,-456.321,-1536.83
0,444.8,-239.256,12842.5
1,457.697,-469.24,-1547.06
0,456.977,-232.644,12932.7
1,465.712,-482.349,-1557.37
0,469.302,-226.319,13023.5
1,473.4,-495.64,-1567.76
0,481.768,-220.285,13115
1,480.757,-509.103,-1578.22
0,494.367,-214.545,13207
1,487.778,-522.731,-1588.75
0,507.093,-209.104,13299.7
